QuestionID	Field	English
QID1	QuestionText	Your age
QID2	QuestionText	Gender
QID2	ANSWER_CHOICE.1	Male
QID2	ANSWER_CHOICE.2	Female
QID2	ANSWER_CHOICE.3	Other
QID2	ANSWER_CHOICE.4	Prefer not to say
QID3	QuestionText	Current status
QID3	ANSWER_CHOICE.1	Undergraduate
QID3	ANSWER_CHOICE.2	Master's
QID3	ANSWER_CHOICE.3	PhD
QID3	ANSWER_CHOICE.4	Working
QID3	ANSWER_CHOICE.5	Other
QID4	QuestionText	How long have you been using AI chat tools? (e.g., ChatGPT, Claude, Gemini, Copilot)
QID4	ANSWER_CHOICE.1	<1 month
QID4	ANSWER_CHOICE.2	1–3 months
QID4	ANSWER_CHOICE.3	3 months–1 year
QID4	ANSWER_CHOICE.4	>1 year
QID5	QuestionText	How often do you use them?
QID5	ANSWER_CHOICE.1	Almost daily
QID5	ANSWER_CHOICE.2	Several times a week
QID5	ANSWER_CHOICE.3	About weekly
QID5	ANSWER_CHOICE.4	Less often
QID6	QuestionText	Which do you use most? (multi-select)
QID6	ANSWER_CHOICE.1	ChatGPT
QID6	ANSWER_CHOICE.2	Claude
QID6	ANSWER_CHOICE.3	Gemini
QID6	ANSWER_CHOICE.4	豆包
QID6	ANSWER_CHOICE.5	Kimi
QID6	ANSWER_CHOICE.6	DeepSeek
QID6	ANSWER_CHOICE.7	文心一言
QID6	ANSWER_CHOICE.8	通义千问
QID6	ANSWER_CHOICE.9	Copilot
QID6	ANSWER_CHOICE.10	Other
QID7	QuestionText	Have you talked with an AI about work/study decisions, relationships, emotions, or other personal topics?
QID7	ANSWER_CHOICE.1	Often
QID7	ANSWER_CHOICE.2	Sometimes
QID7	ANSWER_CHOICE.3	Rarely
QID7	ANSWER_CHOICE.4	Never
QID8	QuestionText	Contact (WeChat/phone/email, scheduling only)
QID9	QuestionText	Please indicate how much you agree with each statement.
QID9	ANSWER_CHOICE.1	I question my own opinions, positions, and viewpoints because they could be wrong.
QID9	ANSWER_CHOICE.2	I reconsider my opinions when presented with new evidence.
QID9	ANSWER_CHOICE.3	I recognize the value in opinions that are different from my own.
QID9	ANSWER_CHOICE.4	I accept that my beliefs and attitudes may be wrong.
QID9	ANSWER_CHOICE.5	In the face of conflicting evidence, I am open to changing my opinions.
QID9	ANSWER_CHOICE.6	I like finding out new information that differs from what I already think is true.
QID9	ANSWER.1	1 Strongly disagree
QID9	ANSWER.2	2
QID9	ANSWER.3	3
QID9	ANSWER.4	4
QID9	ANSWER.5	5
QID9	ANSWER.6	6
QID9	ANSWER.7	7 Strongly agree
QID10	QuestionText	Please indicate how much you agree with each statement.
